run_index,session,patient,model,label,folds,mean_bal_acc,std_bal_acc
20260628_174138,260408,sub1_hjlee,eegnet,0,5,0.5137499928474426,0.1200097597333132
20260628_174138,260408,sub1_hjlee,eegnet,1_vs_3,5,0.5999999880790711,0.09185586697660328
20260628_174138,260408,sub1_hjlee,eegnet,2,5,0.5675000071525573,0.03462975117471074
20260628_175606,260422,sub1_hjlee,eegnet,0,5,0.4887500047683716,0.07873512665472977
20260628_175606,260422,sub1_hjlee,eegnet,1_vs_3,5,0.4400000095367432,0.04873397417016879
20260628_175606,260422,sub1_hjlee,eegnet,2,5,0.5574999928474427,0.02944805481070138
20260628_180832,260506,sub1_hjlee,eegnet,0,5,0.5037500083446502,0.01854050063814391
20260628_180832,260506,sub1_hjlee,eegnet,1_vs_3,5,0.5699999928474426,0.0942071997425174
20260628_180832,260506,sub1_hjlee,eegnet,2,5,0.4562500178813934,0.04614007145768975
20260628_181634,260520,sub1_hjlee,eegnet,0,5,0.5224999785423279,0.07875990402294858
20260628_181634,260520,sub1_hjlee,eegnet,1_vs_3,5,0.48999999165534974,0.1318142503208006
20260628_181634,260520,sub1_hjlee,eegnet,2,5,0.56875,0.07460834991789676
20260628_182635,260602,sub1_hjlee,eegnet,0,5,0.5587500154972076,0.06085330596823557
20260628_182635,260602,sub1_hjlee,eegnet,1_vs_3,5,0.524999988079071,0.06123723383618269
20260628_182635,260602,sub1_hjlee,eegnet,2,5,0.5437499940395355,0.0788094899860501
20260628_183557,260617,sub1_hjlee,eegnet,0,5,0.5062499880790711,0.04921252498922755
20260628_183557,260617,sub1_hjlee,eegnet,1_vs_3,5,0.48999999165534974,0.1126387864596642
20260628_183557,260617,sub1_hjlee,eegnet,2,5,0.4949999988079071,0.07544140299033532
