run_index,session,patient,model,label,folds,mean_bal_acc,std_bal_acc
20260628_154308,260527,sub2_yjkim,eegnet,0,5,0.8550000071525574,0.07531185749381403
20260628_154308,260527,sub2_yjkim,eegnet,1_vs_3,5,0.8700000166893005,0.0447213435563913
20260628_154308,260527,sub2_yjkim,eegnet,2,5,0.8375,0.06312190468442413
20260628_155642,260528,sub2_yjkim,eegnet,0,5,0.6616567373275757,0.0795357288990378
20260628_155642,260528,sub2_yjkim,eegnet,1_vs_3,5,0.6277022957801819,0.0635733102412719
20260628_155642,260528,sub2_yjkim,eegnet,2,5,0.6459493041038513,0.12396126244446548
20260628_160850,260601,sub2_yjkim,eegnet,0,5,0.9087499737739563,0.012960276420725598
20260628_160850,260601,sub2_yjkim,eegnet,1_vs_3,5,0.85,0.06373772989259587
20260628_160850,260601,sub2_yjkim,eegnet,2,5,0.9112499833106995,0.030103978774645882
20260628_163852,260602,sub2_yjkim,eegnet,0,5,0.85625,0.04928690717371095
20260628_163852,260602,sub2_yjkim,eegnet,1_vs_3,5,0.9,0.013975424859373685
20260628_163852,260602,sub2_yjkim,eegnet,2,5,0.896875,0.0399890121627179
20260628_165618,260623,sub2_yjkim,eegnet,0,5,0.8962499856948852,0.05069825035845196
20260628_165618,260623,sub2_yjkim,eegnet,1_vs_3,5,0.9049999952316284,0.03259601065457578
20260628_165618,260623,sub2_yjkim,eegnet,2,5,0.893749988079071,0.03775949745595172
