run_index,session,patient,model,label,folds,mean_bal_acc,std_bal_acc
20260628_174123,260408,sub1_hjlee,shallownet,0,5,0.5775000035762787,0.07120613597244936
20260628_174123,260408,sub1_hjlee,shallownet,1_vs_3,5,0.6,0.12869539007776298
20260628_174123,260408,sub1_hjlee,shallownet,2,5,0.48250000476837157,0.06923127019167039
20260628_175100,260422,sub1_hjlee,shallownet,0,5,0.5012499988079071,0.030103994861811107
20260628_175100,260422,sub1_hjlee,shallownet,1_vs_3,5,0.5,0.06846532512928288
20260628_175100,260422,sub1_hjlee,shallownet,2,5,0.5275000214576722,0.04016566529829868
20260628_175817,260506,sub1_hjlee,shallownet,0,5,0.46375001668930055,0.05700877455492602
20260628_175817,260506,sub1_hjlee,shallownet,1_vs_3,5,0.5350000023841858,0.07623975546212587
20260628_175817,260506,sub1_hjlee,shallownet,2,5,0.5125,0.0382732699309428
20260628_180529,260520,sub1_hjlee,shallownet,0,5,0.536249989271164,0.06766183134143723
20260628_180529,260520,sub1_hjlee,shallownet,1_vs_3,5,0.4799999952316284,0.06937217163214746
20260628_180529,260520,sub1_hjlee,shallownet,2,5,0.5100000083446503,0.04112670126689328
20260628_181317,260602,sub1_hjlee,shallownet,0,5,0.5287500023841858,0.07788714253782053
20260628_181317,260602,sub1_hjlee,shallownet,1_vs_3,5,0.46499999761581423,0.05184108125051006
20260628_181317,260602,sub1_hjlee,shallownet,2,5,0.49250001311302183,0.062406180656333674
20260628_182024,260617,sub1_hjlee,shallownet,0,5,0.5199999868869781,0.08865310816951161
20260628_182024,260617,sub1_hjlee,shallownet,1_vs_3,5,0.4799999952316284,0.06471089944236448
20260628_182024,260617,sub1_hjlee,shallownet,2,5,0.5087500095367432,0.05906166961631288
